COUNTY,STATE,PER_CAPITA_INCOME,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,POPULATION,NUMBER_OF_HOUSEHOLDS
DONLEY,TEXAS,21904,42411,57961,3620,1280
LAKE OF THE WOODS,MINNESOTA,21903,44069,49816,3998,1665
CLARION,PENNSYLVANIA,21902,42389,54945,39720,15776
NOBLE,INDIANA,21889,47117,57363,47509,17722
SPARTANBURG,SOUTH CAROLINA,21889,42919,52662,286789,107350
LINCOLN,OKLAHOMA,21888,42668,53457,34238,13256
MARION,ILLINOIS,21887,41010,52408,39070,15893
CLINTON,PENNSYLVANIA,21875,42184,55818,39501,15067
MURRAY,OKLAHOMA,21870,44151,53246,13571,5121
DOUGLAS,OREGON,21870,40524,48420,107286,43846
WATAUGA,NORTH CAROLINA,21854,34293,60066,51557,20909
BEAR LAKE,IDAHO,21853,44964,49145,5957,2442
WIRT,WEST VIRGINIA,21852,34702,43795,5796,2427
KIT CARSON,COLORADO,21850,44157,57538,8189,3046
JACKSON,WISCONSIN,21849,44149,51692,20506,8112
BROWN,NEBRASKA,21843,33647,44605,3167,1544
NYE,NEVADA,21838,39876,45798,43368,18046
RALEIGH,WEST VIRGINIA,21837,40758,49936,78993,31364
WARREN,ILLINOIS,21832,43536,53887,17762,6972
GASCONADE,MISSOURI,21830,41392,52579,15083,6168
CAMAS,IDAHO,21830,41154,46587,1267,464
GRAYS HARBOR,WASHINGTON,21828,42405,52948,72092,27396
GREENE,PENNSYLVANIA,21819,44388,55745,38362,14417
PISCATAQUIS,MAINE,21818,36646,45917,17343,7769
FLOYD,VIRGINIA,21816,44618,50969,15371,6086
LINCOLN,TENNESSEE,21811,41571,51120,33411,13438
MADISON,KENTUCKY,21800,42312,54652,83976,31484
LEE,MISSISSIPPI,21799,42074,54292,83964,31898
WAKULLA,FLORIDA,21797,52691,59910,30824,10455
WHITE,ARKANSAS,21793,42487,51449,77767,29632
JOSEPHINE,OREGON,21791,37733,46913,82783,34390
CARROLL,OHIO,21783,43779,52336,28689,11107
CHASE,KANSAS,21775,36815,56346,2763,1149
WOODSON,KANSAS,21774,33839,47159,3278,1517
GALAX,VIRGINIA,21769,30325,47297,6977,3018
LYON,NEVADA,21757,46137,52918,51648,19278
BUTTE,SOUTH DAKOTA,21744,41332,58006,10197,4015
ASSUMPTION,LOUISIANA,21743,46116,55603,23268,8571
CRAWFORD,PENNSYLVANIA,21741,42504,53099,88173,34831
GRAY,TEXAS,21738,43504,54327,22777,8388
CHOUTEAU,MONTANA,21737,40070,50111,5827,2228
STONE,MISSOURI,21733,40850,49527,31817,13320
VAN BUREN,MICHIGAN,21732,45129,54472,75897,28374
WEST FELICIANA,LOUISIANA,21720,61616,75613,15522,4007
BOX ELDER,UTAH,21720,57292,62898,50160,16207
BRAZOS,TEXAS,21720,38310,58863,197642,70239
GREENBRIER,WEST VIRGINIA,21720,37895,48487,35588,15409
UNION,ILLINOIS,21719,41848,48879,17722,6852
LINCOLN,MONTANA,21719,33333,44111,19581,8872
STANTON,KANSAS,21712,46382,50948,2210,775
ROBERTSON,TEXAS,21709,40601,48008,16574,5851
GRANT,WISCONSIN,21705,46963,58869,51080,19420
STEWART,TENNESSEE,21701,39781,51250,13313,5292
CASS,INDIANA,21700,41940,50753,38802,14827
CATOOSA,GEORGIA,21690,47087,55768,64606,23941
DADE,GEORGIA,21690,43205,50830,16580,6325
ERATH,TEXAS,21670,39586,52201,38744,14383
STANISLAUS,CALIFORNIA,21663,49297,55432,518321,166883
MCLENNAN,TEXAS,21660,41922,53085,237316,84862
FLOYD,TEXAS,21655,42279,54696,6371,2457
WETZEL,WEST VIRGINIA,21653,37969,49622,16435,6903
BRADLEY,TENNESSEE,21649,41083,50351,100070,37603
PULASKI,INDIANA,21641,44764,53822,13253,5058
RUSK,TEXAS,21640,45752,55414,53508,17772
LYNN,TEXAS,21639,44375,49308,5841,2179
BEAUFORT,NORTH CAROLINA,21636,40429,49574,47575,19266
FINNEY,KANSAS,21629,47945,56111,36920,12515
JUNIATA,PENNSYLVANIA,21628,46163,54701,24737,9248
BOONE,WEST VIRGINIA,21627,42156,54315,24517,9559
BELTRAMI,MINNESOTA,21622,43231,53549,45021,16781
LAKE AND PENINSULA,ALASKA,21616,51786,53828,1454,508
HOPKINS,TEXAS,21606,43657,52124,35295,13303
DEKALB,TENNESSEE,21606,37482,44208,18875,7037
APPANOOSE,IOWA,21599,39208,51142,12808,5534
HOWARD,MISSOURI,21598,42747,54167,10184,3825
AVERY,NORTH CAROLINA,21598,36969,46847,17756,7122
SALINE,ILLINOIS,21596,37800,47023,24950,10174
JEFFERSON,OREGON,21593,43373,46040,21461,7882
RANDOLPH,INDIANA,21592,40904,47682,25975,10429
NEWBERRY,SOUTH CAROLINA,21591,41718,53963,37514,14254
ONTONAGON,MICHIGAN,21585,34620,44986,6584,3269
PITTSYLVANIA,VIRGINIA,21583,42143,52071,63077,26092
COLUSA,CALIFORNIA,21579,52158,56830,21366,6853
FRANKLIN,NEW YORK,21575,45667,54399,51676,19238
COLUMBIANA,OHIO,21575,42300,53267,107078,42095
GAINES,TEXAS,21572,52910,56868,18019,5437
COLBERT,ALABAMA,21572,39077,50924,54456,22260
AROOSTOOK,MAINE,21566,37855,50779,71230,30597
WAYNE,NORTH CAROLINA,21557,41731,51391,123382,47330
ADAMS,IDAHO,21555,35434,42978,3937,1707
CLINTON,INDIANA,21554,48953,57960,33086,11745
JOHNSON,MISSOURI,21547,47223,58641,53517,20092
DICKSON,TENNESSEE,21547,44318,51398,49926,18647
DESOTO,LOUISIANA,21547,39162,51734,26813,10270
CUMBERLAND,VIRGINIA,21540,40557,49351,9943,4049
LAKE,CALIFORNIA,21537,36548,48323,64260,26505
SEDGWICK,COLORADO,21536,40221,53500,2376,943
ESSEX,VIRGINIA,21532,44885,53946,11180,4286
BURLESON,TEXAS,21529,45651,56139,17201,6258
MADISON,INDIANA,21527,43120,54074,131027,50637
JEFFERSON,INDIANA,21524,43795,52922,32449,12668
FAYETTE,ILLINOIS,21523,44722,52735,22088,8124
LAKE,MONTANA,21521,38019,50222,28905,11829
PUTNAM,INDIANA,21520,50821,59037,37799,12414
COWLEY,KANSAS,21519,41878,53091,36232,13867
SOMERSET,MAINE,21513,38642,50051,51942,21692
LINN,OREGON,21500,46939,55169,117648,44722
CARLISLE,KENTUCKY,21500,39049,47667,5064,2034
LOUP,NEBRASKA,21499,38125,42917,581,240
IRON,MICHIGAN,21499,34685,46502,11723,5289
DILLINGHAM CENSUS AREA,ALASKA,21498,54150,56089,4923,1339
CRAIG,VIRGINIA,21498,47806,58750,5199,2122
CRAWFORD,MICHIGAN,21492,40295,50114,14017,5781
CALLOWAY,KENTUCKY,21490,39677,56752,37383,14937
KLAMATH,OREGON,21489,39627,48896,66211,27378
MONROE,OHIO,21487,40573,46632,14646,6111
SCOTT,VIRGINIA,21485,38355,47067,22940,9692
NEWTON,GEORGIA,21484,50580,56113,100808,33840
MCINTOSH,GEORGIA,21484,39068,54036,14142,4993
CALDWELL,MISSOURI,21482,41169,53186,9249,3743
CRAWFORD,OHIO,21478,40783,49718,43348,17655
CARTER,OKLAHOMA,21476,41401,52415,47904,17411
SHERMAN,KANSAS,21476,38634,46154,6063,2727
CLAY,INDIANA,21474,46430,57826,26865,10230
WASHINGTON,UTAH,21472,49279,55881,141902,46826
LAMAR,TEXAS,21468,40104,50524,49751,19416
NORTHWEST ARCTIC,ALASKA,21461,61607,57866,7624,1828
PRESTON,WEST VIRGINIA,21457,45413,52128,33666,12697
COTTON,OKLAHOMA,21452,46317,56721,6166,2345
LEE,NORTH CAROLINA,21449,44819,55582,58735,21204
LOGAN,ILLINOIS,21445,47133,62765,30177,10963
TROUP,GEORGIA,21443,41161,50076,67776,24441
RED RIVER,LOUISIANA,21443,39346,46024,9028,3320
OXFORD,MAINE,21441,40674,49920,57657,22890
LYNCHBURG,VIRGINIA,21440,38138,50676,76467,28556
TALLAPOOSA,ALABAMA,21434,39130,46839,41428,16373
HARRISON,KENTUCKY,21424,36048,51177,18693,7179
WEBSTER,NEBRASKA,21423,41045,49968,3762,1548
DAVIESS,INDIANA,21416,47165,56684,31928,11160
PINE,MINNESOTA,21413,43928,53869,29449,11758
HERNANDO,FLORIDA,21411,41024,48461,173119,70210
GEARY,KANSAS,21408,46908,51712,35583,12532
MITCHELL,NORTH CAROLINA,21404,37680,46432,15453,6455
FRANKLIN,NORTH CAROLINA,21399,41696,51353,61154,23313
MARION,TENNESSEE,21399,41268,49631,28214,11226
VERNON,LOUISIANA,21396,46572,51718,52510,18148
YOAKUM,TEXAS,21389,49340,55545,7998,2654
LAFAYETTE,MISSISSIPPI,21388,43328,59882,48905,15743
COLFAX,NEW MEXICO,21387,37734,47100,13485,5574
BARROW,GEORGIA,21379,53274,58892,69933,23413
HILL,MONTANA,21376,43726,55617,16301,6139
CRITTENDEN,KENTUCKY,21375,34261,48083,9283,3794
WASHINGTON,INDIANA,21370,41986,50107,28064,10631
VAN BUREN,IOWA,21368,43181,54591,7517,3023
LAWRENCE,OHIO,21365,41552,53015,62309,24009
TAZEWELL,VIRGINIA,21358,35693,45080,44664,18294
WILLIAMS,OHIO,21350,43089,52347,37623,14947
LAUDERDALE,MISSISSIPPI,21346,36203,46954,80337,29809
PIKE,ILLINOIS,21344,39845,49542,16337,6708
CRENSHAW,ALABAMA,21343,36275,48903,13955,5601
GARRARD,KENTUCKY,21341,44652,55105,16896,6302
ST. JOHN THE BAPTIST,LOUISIANA,21335,50635,56540,45139,15440
BAXTER,ARKANSAS,21334,35343,45499,41281,18155
TAOS,NEW MEXICO,21333,32637,44541,32899,13338
SAN BERNARDINO,CALIFORNIA,21332,54090,59294,2056915,603879
MONTGOMERY,KANSAS,21332,39669,52583,34869,14000
BANNOCK,IDAHO,21327,43534,57079,83091,30271
OWEN,INDIANA,21318,43950,51503,21467,8552
GILMER,GEORGIA,21317,39140,44624,28308,11513
ST. MARY,LOUISIANA,21313,41571,48754,54078,20092
PLEASANTS,WEST VIRGINIA,21312,41859,57604,7602,2747
STOKES,NORTH CAROLINA,21311,42703,50910,47063,18969
ROSS,OHIO,21310,43264,52836,77802,28308
JEFFERSON,PENNSYLVANIA,21300,41262,51451,45015,18503
JASPER,GEORGIA,21297,42192,49194,13748,5132
PERSON,NORTH CAROLINA,21292,42317,49521,39361,15320
POLK,FLORIDA,21285,43113,50944,610295,219540
GARVIN,OKLAHOMA,21285,38245,47330,27410,10294
CLEARFIELD,PENNSYLVANIA,21273,41030,51031,81536,32192
TANGIPAHOA,LOUISIANA,21273,40654,53101,122665,44418
HAMBLEN,TENNESSEE,21261,39596,50162,62721,24315
SAN JUAN,NEW MEXICO,21260,48196,57715,128476,40945
CURRY,NEW MEXICO,21259,39871,50963,49302,18027
PENDLETON,WEST VIRGINIA,21253,34175,47745,7603,3274
MILAM,TEXAS,21248,37391,49860,24503,9330
CHAUTAUQUA,KANSAS,21245,39529,45221,3614,1565
BROWN,TEXAS,21236,39776,48865,37942,13405
CARROLL,GEORGIA,21227,46147,54942,111160,39494
FULTON,INDIANA,21226,40168,47724,20698,8221
VERMILION,ILLINOIS,21225,41400,51986,81147,31575
PAWNEE,OKLAHOMA,21220,44375,56131,16592,6341
NEW MADRID,MISSOURI,21215,35793,45048,18695,7423
ALLEGANY,MARYLAND,21211,39293,54022,74394,28433
DYER,TENNESSEE,21208,38953,47037,38239,15100
WHITMAN,WASHINGTON,21208,36257,63713,45512,16624
BROWN,OHIO,21206,44341,51674,44604,16380
WABASH,INDIANA,21201,45286,52204,32650,12703
TERRY,TEXAS,21201,37679,45765,12644,4067
MODOC,CALIFORNIA,21200,36212,46268,9468,3983
VIGO,INDIANA,21192,40692,52203,108084,39597
GATES,NORTH CAROLINA,21187,46592,53577,11982,4459
JEFFERSON,FLORIDA,21184,44170,51029,14469,5347
PICKENS,SOUTH CAROLINA,21182,41788,54279,119483,43971
HILL,TEXAS,21182,40769,52184,35051,13395
IBERVILLE,LOUISIANA,21177,45368,54191,33360,11192
LEWIS,WEST VIRGINIA,21175,36199,44653,16411,6451
PHELPS,MISSOURI,21173,41964,54015,44969,16699
GALLIA,OHIO,21168,39226,48918,30859,11576
NEOSHO,KANSAS,21163,42071,49915,16477,6508
SMITH,TENNESSEE,21153,42383,52301,19134,7263
CUMBERLAND,TENNESSEE,21141,37188,43611,56589,23764
DAWES,NEBRASKA,21137,40359,62952,9172,3709
JEFFERSON DAVIS,LOUISIANA,21132,41622,51772,31498,11634
LUCAS,IOWA,21126,43288,55547,8840,3734
TUCKER,WEST VIRGINIA,21126,37635,49677,7061,3050
SHELBY,TEXAS,21126,37081,44129,25677,9781
EASTLAND,TEXAS,21125,34914,44271,18465,6872
JASPER,MISSOURI,21124,40399,49154,116803,44849
ASHLAND,WISCONSIN,21115,38550,47587,16068,6775
WAYNE,INDIANA,21114,38350,48417,68557,28185
ELKHART,INDIANA,21109,45693,53154,198662,70130
DELAWARE,OKLAHOMA,21109,36588,45708,41394,16589
ROCKINGHAM,NORTH CAROLINA,21102,38567,47715,92974,37693
COTTLE,TEXAS,21089,34639,39241,1546,709
ONSLOW,NORTH CAROLINA,21084,45450,49819,179935,60071
GRENADA,MISSISSIPPI,21084,34129,48301,21745,7941
GREENWOOD,SOUTH CAROLINA,21053,36540,47807,69727,27004
KNOX,INDIANA,21047,42119,53840,38266,14738
BATES,MISSOURI,21047,38579,50469,16878,6832
BROWN,KANSAS,21046,39968,52456,9969,4104
COMANCHE,KANSAS,21041,39375,55431,1905,791
HOCKING,OHIO,21037,42089,52837,29268,11478
HARRISON,OHIO,21029,39002,48739,15766,6395
MORGAN,OHIO,21027,37865,44902,15008,6204
BARTOW,GEORGIA,21022,47197,56223,100382,34567
LIVE OAK,TEXAS,21016,42829,49681,11603,3882
LINN,MISSOURI,21015,38250,47327,12592,4854
JACKSON,NORTH CAROLINA,21014,36951,48568,40362,15609
LIVINGSTON,MISSOURI,21011,40116,54663,15051,5660
RUSK,WISCONSIN,21004,38658,47825,14571,6430
LANCASTER,SOUTH CAROLINA,21003,42217,51067,77946,28956
BUTTE,IDAHO,20995,41131,50000,2786,1022
MONTGOMERY,MISSOURI,20991,40236,48314,12128,5091
ANGELINA,TEXAS,20982,41354,47396,87042,30668
BIBB,GEORGIA,20982,37550,49891,155524,56585
ALLEGANY,NEW YORK,20978,42445,52112,48618,18786
CRAWFORD,KANSAS,20974,37378,50936,39182,15370
WILSON,NORTH CAROLINA,20972,39204,47796,81365,31690
LOWNDES,MISSISSIPPI,20951,37868,48662,59746,23178
KNOX,MISSOURI,20946,34481,44073,4099,1724
BON HOMME,SOUTH DAKOTA,20941,40980,55508,7048,2501
POTTAWATOMIE,OKLAHOMA,20937,42764,51656,70144,25658
PERRY,INDIANA,20934,47596,57732,19450,7411
HALIFAX,VIRGINIA,20929,34659,45024,35938,14770
BRACKEN,KENTUCKY,20918,39196,55526,8472,3252
ROWAN,NORTH CAROLINA,20912,41495,50537,138265,52300
PINAL,ARIZONA,20910,50027,55282,379128,123733
LUMPKIN,GEORGIA,20908,43775,56826,30428,10999
OBION,TENNESSEE,20900,39467,46784,31566,12462
SEQUATCHIE,TENNESSEE,20899,36434,49238,14333,5616
MEADE,KENTUCKY,20898,46756,50574,29028,10342
EDWARDS,ILLINOIS,20898,39075,49290,6695,2728
SCHOOLCRAFT,MICHIGAN,20892,35260,47557,8407,3590
ESSEX,VERMONT,20887,35916,45000,6276,2774
FAYETTE,PENNSYLVANIA,20884,39115,49664,136145,54363
UNION,INDIANA,20883,44161,57330,7420,2943
CROOK,OREGON,20883,38795,48486,20894,8880
RICHMOND,VIRGINIA,20875,47083,68487,9140,2853
PAYNE,OKLAHOMA,20868,36812,56881,77897,30010
WALKER,GEORGIA,20865,39963,50683,68481,26191
HARNEY,OREGON,20865,38113,42540,7314,3113
PULASKI,MISSOURI,20863,49820,56933,52795,15747
ESMERALDA,NEVADA,20862,30284,51500,979,479
MARTIN,TEXAS,20859,42607,49643,4956,1555
DELAWARE,INDIANA,20854,37474,51591,117575,46325
TAYLOR,WEST VIRGINIA,20848,39536,48618,16906,6878
ASHE,NORTH CAROLINA,20838,35951,47184,27180,11839
SMYTH,VIRGINIA,20837,37239,46776,31979,12650
UMATILLA,OREGON,20836,48389,57434,76306,26744
MOHAVE,ARIZONA,20833,39200,47136,201680,80230
CALHOUN,ALABAMA,20828,39962,50851,117714,45196
SCOTT,MISSOURI,20825,40651,48705,39216,15169
WASHINGTON,MAINE,20807,37236,45117,32621,14209
NATCHITOCHES,LOUISIANA,20802,33953,47936,39403,14903
MIFFLIN,PENNSYLVANIA,20794,40384,48222,46698,18711
GILA,ARIZONA,20792,39954,48958,53335,20601
LIBERTY,GEORGIA,20791,43832,48756,64899,23046
MUSKINGUM,OHIO,20775,40524,50977,85872,33976
UTAH,UTAH,20774,60196,65542,529262,143005
TUSCOLA,MICHIGAN,20767,43039,51319,55172,21211
CULLMAN,ALABAMA,20760,38847,47103,80499,31342
CLARK,WISCONSIN,20754,43276,53025,34630,13036
EDGEFIELD,SOUTH CAROLINA,20753,43861,53879,26698,9108
GRAVES,KENTUCKY,20746,38394,50693,37329,14419
COSTILLA,COLORADO,20742,29145,41551,3552,1361
HUNTINGDON,PENNSYLVANIA,20739,44183,54961,45874,17193
MARSHALL,TENNESSEE,20739,42291,51921,30818,11578
HOOKER,NEBRASKA,20737,39327,42366,703,295
OKANOGAN,WASHINGTON,20735,40368,47539,41143,15980
BLOUNT,ALABAMA,20730,44145,52996,57623,21108
SAGUACHE,COLORADO,20726,34600,41154,6200,2692
PHILLIPS,COLORADO,20720,43011,54583,4383,1668
UNION,ARKANSAS,20718,37435,46952,41307,16596
SANILAC,MICHIGAN,20713,40478,50648,42637,16329
TYLER,WEST VIRGINIA,20704,39206,47671,9120,3712
CHILTON,ALABAMA,20701,41250,52092,43744,16232
WALKER,ALABAMA,20698,37566,46245,66622,25751
BRISCOE,TEXAS,20697,36250,50560,1615,605
MORGAN,COLORADO,20680,43774,50202,28308,10446
BARTON,MISSOURI,20678,40580,49713,12378,5065
MCCULLOCH,TEXAS,20677,39194,50653,8302,2967
PULASKI,KENTUCKY,20667,34092,44363,63369,26108
MORROW,OREGON,20663,49940,52652,11218,3741
HAWKINS,TENNESSEE,20662,37357,46066,56759,23348
LAWRENCE,MISSISSIPPI,20655,38393,49975,12734,4830
ELMORE,IDAHO,20646,42842,49157,26528,9555
PRAIRIE,MONTANA,20644,38036,41667,1186,502
LINCOLN,GEORGIA,20641,35625,42909,7894,3394
CARROLL,ARKANSAS,20637,36584,46669,27531,11019
MILLER,ARKANSAS,20636,41319,51790,43515,16950
LINCOLN,LOUISIANA,20633,35769,51206,46926,16877
MARION,OHIO,20624,42572,53882,66323,24578
NEWAYGO,MICHIGAN,20623,42571,50181,48280,18156
CLEVELAND,ARKANSAS,20622,39420,47576,8648,3346
MASON,WEST VIRGINIA,20622,38411,44401,27271,10609
MUSKEGON,MICHIGAN,20621,40979,50092,171153,65008
JEFFERSON,TENNESSEE,20619,39745,49107,51759,19797
MISSISSIPPI,STATE,20618,39031,48471,2976872,1088073
CATRON,NEW MEXICO,20616,39826,45821,3683,1581
MINGO,WEST VIRGINIA,20609,35955,47986,26460,10827
FAYETTE,OHIO,20603,37619,45108,28902,11514
CLAY,SOUTH DAKOTA,20595,38173,61750,13953,5145
GRAYSON,VIRGINIA,20591,30710,40245,15377,6618
CHIPPEWA,MICHIGAN,20589,41637,54513,38760,14605
TWIN FALLS,IDAHO,20588,43886,50795,78067,28166
LYMAN,SOUTH DAKOTA,20586,47596,61713,3804,1423
MAYES,OKLAHOMA,20585,42751,52749,41110,15896
DICKENS,TEXAS,20578,38401,53558,2382,913
WEXFORD,MICHIGAN,20573,40965,48790,32690,12473
ST. JOSEPH,MICHIGAN,20570,44051,52116,61111,22326
CANNON,TENNESSEE,20566,40689,48333,13790,5383
RIO GRANDE,COLORADO,20557,38993,45347,11913,4722
CRAWFORD,GEORGIA,20556,41586,48796,12607,4620
BROWN,ILLINOIS,20555,42194,64292,6904,2105
ALLEN,KANSAS,20552,40554,50344,13318,5505
PEARL RIVER,MISSISSIPPI,20549,42510,50330,55569,20556
MORA,NEW MEXICO,20543,28481,41794,4788,1532
GUERNSEY,OHIO,20537,38841,48708,39935,15690
STEPHENS,TEXAS,20535,41728,50128,9493,3509
PARKE,INDIANA,20534,43870,52130,17210,5893
GENTRY,MISSOURI,20534,39192,47750,6774,2800
JACKSON,ILLINOIS,20527,33479,52697,60055,23567
COSHOCTON,OHIO,20526,41274,48818,36862,14495
RICHMOND,GEORGIA,20526,37749,46486,201081,72281
BRYAN,OKLAHOMA,20524,38897,47403,43079,16575
RANDOLPH,NORTH CAROLINA,20523,41208,50234,142042,54350
PUTNAM,TENNESSEE,20517,33709,47920,72702,28980
GREENLEE,ARIZONA,20516,47992,48074,8679,3386
GRANT,INDIANA,20516,39747,49685,69671,26981
STANLY,NORTH CAROLINA,20504,42518,54611,60529,23108
CRAWFORD,INDIANA,20504,39700,46628,10656,4237
FLOYD,GEORGIA,20500,40821,50563,96147,34646
OGLETHORPE,GEORGIA,20493,45729,57399,14730,5201
TROUSDALE,TENNESSEE,20491,43034,52030,7843,2899
SHOSHONE,IDAHO,20487,38440,47768,12729,5714
JACKSON,ALABAMA,20486,37634,47380,53171,20765
SCOTT,INDIANA,20481,42898,48435,24035,8914
MIAMI,INDIANA,20475,42023,53154,36624,13210
CLOUD,KANSAS,20467,38534,45688,9419,4022
FOREST,WISCONSIN,20462,39963,51207,9255,3739
JIM WELLS,TEXAS,20452,40585,47588,41217,13728
NICHOLAS,KENTUCKY,20450,43081,48164,7085,2884
HENDERSON,TENNESSEE,20449,38280,47551,27934,10930
POPE,ILLINOIS,20448,38371,45551,4383,1736
HINDS,MISSISSIPPI,20448,37626,47132,246300,87844
ALEXANDER,NORTH CAROLINA,20440,40637,50123,37071,14101
TEHAMA,CALIFORNIA,20439,41924,49018,63241,23374
MONTGOMERY,KENTUCKY,20436,37312,45434,26762,10168
TATE,MISSISSIPPI,20431,41494,51887,28625,9936
NEWTON,TEXAS,20431,37246,46690,14340,4865
TOWNS,GEORGIA,20419,36570,45707,10551,4261
SALINE,NEBRASKA,20407,44109,53101,14348,5051
GIBSON,TENNESSEE,20402,38343,47987,49664,19205
WASHINGTON,ALABAMA,20395,42156,50376,17284,6620
FRANKLIN,ILLINOIS,20394,36273,48376,39470,16110
COVINGTON,ALABAMA,20391,35869,43822,37847,15041
MERCER,WEST VIRGINIA,20391,34842,44751,62261,25641
HOPEWELL,VIRGINIA,20388,37933,47214,22429,8766
MARSHALL,ALABAMA,20382,39526,48952,93699,34250
WASHINGTON,IDAHO,20380,37453,46690,10094,3938
HILLSDALE,MICHIGAN,20379,41759,49976,46463,17642
WILBARGER,TEXAS,20373,41658,45604,13371,5161
POCAHONTAS,WEST VIRGINIA,20373,33779,43975,8723,3694
HART,GEORGIA,20371,35615,47473,25348,10009
GLADWIN,MICHIGAN,20368,37626,45605,25664,10895
BUTTS,GEORGIA,20363,49754,61761,23563,7776
SCOTLAND,MISSOURI,20363,39028,49328,4859,1915
NACOGDOCHES,TEXAS,20362,36777,50952,65085,23586
COFFEE,TENNESSEE,20357,37618,50394,53011,21019
SUMTER,SOUTH CAROLINA,20340,41366,48603,107645,39373
FANNIN,TEXAS,20337,44355,52392,33819,11814
WEBSTER,KENTUCKY,20337,41415,54448,13564,5150
MARION,TEXAS,20337,31967,46207,10439,4563
SMITH,MISSISSIPPI,20334,34753,44849,16414,6269
MONROE,MISSOURI,20331,40657,53116,8798,3497
GOGEBIC,MICHIGAN,20330,34252,46570,16179,7070
WADENA,MINNESOTA,20329,36928,50354,13772,5830
NAVARRO,TEXAS,20327,40795,47493,47883,17466
CALDWELL,KENTUCKY,20327,37127,48478,12946,5232
CHOCTAW,ALABAMA,20323,33941,45876,13687,5518
BLACKFORD,INDIANA,20322,39225,45310,12665,5190
ELK,KANSAS,20322,34089,43500,2782,1271
JACKSON,SOUTH DAKOTA,20319,46224,51196,3116,1056
ST. BERNARD,LOUISIANA,20316,41353,45087,38850,13714
HARNETT,NORTH CAROLINA,20310,44625,54000,118793,40677
WHARTON,TEXAS,20310,40411,51702,41185,14517
HENRY,INDIANA,20309,40679,51172,49275,18367
GRIMES,TEXAS,20307,43994,56398,26663,8848
MISSAUKEE,MICHIGAN,20305,41061,47446,14940,5891
KERN,CALIFORNIA,20295,48552,52618,848204,255271
MONROE,WEST VIRGINIA,20294,41234,46707,13512,5648
INDEPENDENCE,ARKANSAS,20289,35026,44442,36786,14544
GONZALES,TEXAS,20288,39248,45275,19920,6638
MEAGHER,MONTANA,20288,38182,47604,1905,716
CLARK,MISSOURI,20279,40204,50288,7035,2749
POLK,TENNESSEE,20274,39074,46076,16723,6740
NOME CENSUS AREA,ALASKA,20271,49974,47078,9695,2797
KALKASKA,MICHIGAN,20258,40140,48153,17142,7035
YANCEY,NORTH CAROLINA,20257,38579,45693,17724,7278
FAIRFIELD,SOUTH CAROLINA,20257,36120,44842,23589,9408
CLEARWATER,IDAHO,20256,40134,49267,8638,3545
JASPER,TEXAS,20254,40417,49398,35797,13095
GEM,IDAHO,20250,44432,49872,16722,6323
CHILDRESS,TEXAS,20248,47532,58160,7057,2374
PECOS,TEXAS,20245,47019,58525,15590,4588
BLAINE,OKLAHOMA,20242,44206,51519,10198,3815
RUNNELS,TEXAS,20235,37667,45546,10439,3818
BANKS,GEORGIA,20231,41141,51561,18333,6772
TANEY,MISSOURI,20231,38461,46764,52412,20698
SURRY,NORTH CAROLINA,20219,35641,44788,73486,29967
GEORGE,MISSISSIPPI,20217,43958,53793,22757,7842
FRESNO,CALIFORNIA,20208,45563,50884,939605,289811
IONIA,MICHIGAN,20206,47892,54829,63909,22152
ETOWAH,ALABAMA,20204,38013,47259,104260,40217
FOARD,TEXAS,20202,33750,44152,1133,491
OKTIBBEHA,MISSISSIPPI,20202,30987,55210,48198,18176
GENEVA,ALABAMA,20199,35625,43481,26791,10945
BENEWAH,IDAHO,20198,39049,41110,9186,3888
ATASCOSA,TEXAS,20193,47543,53016,45714,15095
GRANT,WEST VIRGINIA,20193,41368,51667,11869,4449
LAWRENCE,ALABAMA,20181,38551,48486,34009,13382
DUVAL,TEXAS,20181,34131,40917,11740,3901
GILCHRIST,FLORIDA,20180,38406,46202,16917,6240
DAKOTA,NEBRASKA,20179,47069,54721,20920,7309
MERCER,MISSOURI,20178,40272,49087,3749,1575
ADAMS,INDIANA,20160,46695,56345,34424,12127
COVINGTON,VIRGINIA,20160,34319,45742,5880,2545
STERLING,TEXAS,20157,50543,58214,1358,458
BLECKLEY,GEORGIA,20156,36073,46594,12961,3955
CARBON,UTAH,20155,44724,59397,21227,7764
UNICOI,TENNESSEE,20152,32292,44029,18254,7601
DELTA,TEXAS,20150,40375,52482,5237,1929
DAWSON,NEBRASKA,20142,46078,53214,24256,8774
EMERY,UTAH,20137,52763,60948,10895,3598
HARDIN,TENNESSEE,20127,33622,41225,26011,9934
JENNINGS,INDIANA,20109,44128,51657,28324,10632
DARLINGTON,SOUTH CAROLINA,20105,36323,46150,68346,26609
JONES,NORTH CAROLINA,20105,36213,49041,10194,4151
CASS,TEXAS,20104,35598,47101,30344,11836
CACHE,UTAH,20074,49506,57220,114181,35375
HIGHLANDS,FLORIDA,20072,35560,42866,98275,39931
PIKE,OHIO,20071,42165,46476,28587,10859
CLEVELAND,NORTH CAROLINA,20062,38989,48723,97670,37760
MECKLENBURG,VIRGINIA,20056,36261,49468,32274,12650
MACON,MISSOURI,20054,38443,50393,15545,6389
FERRY,WASHINGTON,20052,37571,42164,7623,2951
