STATELINK,CITYLINK,TYPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ILLINOIS,ADDISON,MURDERS,0,0,0,2,1,2,2,0,4,0,0,0
ILLINOIS,ADDISON,ASSAULTS,44,50,50,41,61,56,34,51,30,17,16,42
ILLINOIS,ADDISON,BURGLARIES,122,114,114,116,157,154,137,176,125,109,150,117
ILLINOIS,ADDISON,AUTO THEFTS,61,73,73,73,62,63,76,56,49,35,56,31
GEORGIA,ADEL,AUTO THEFTS,,,1,,,,15,,6,6,4,5
GEORGIA,ADEL,ROBBERIES,,,3,,,,13,,2,2,6,4
GEORGIA,ADEL,RAPES,,,2,,,,5,,1,2,9,8
GEORGIA,ADEL,MURDERS,,,0,,,,0,,1,0,0,0
GEORGIA,ADEL,ASSAULTS,,,30,,,,24,,12,6,9,14
GEORGIA,ADEL,ARSON,,,,,,,,,0,0,0,0
GEORGIA,ADEL,THEFTS,,,292,,,,211,,154,158,176,84
GEORGIA,ADEL,BURGLARIES,,,49,,,,89,,108,105,90,74
IOWA,ADEL,ROBBERIES,,,0,1,1,0,0,0,0,0,0,0
IOWA,ADEL,ARSON,,,1,1,1,0,0,0,1,1,0,0
IOWA,ADEL,THEFTS,,,54,66,77,93,49,54,77,44,39,44
IOWA,ADEL,BURGLARIES,,,21,18,12,13,23,20,21,28,21,38
IOWA,ADEL,ASSAULTS,,,2,9,6,3,4,6,8,10,5,15
IOWA,ADEL,RAPES,,,1,0,1,0,0,0,1,2,0,0
IOWA,ADEL,AUTO THEFTS,,,4,5,5,8,3,9,3,4,0,2
IOWA,ADEL,MURDERS,,,0,0,0,0,0,0,0,0,0,1
CALIFORNIA,ADELANTO,RAPES,6,4,4,8,7,14,,,,,,
CALIFORNIA,ADELANTO,MURDERS,1,1,1,6,1,2,,,,,,
CALIFORNIA,ADELANTO,ASSAULTS,102,87,53,56,68,85,,,,,,
CALIFORNIA,ADELANTO,BURGLARIES,174,223,246,231,263,238,,,,,,
